id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
82;Kommunedata;requests;1566897549.5825841;-0.1962287425994873;https://dawa.aws.dk/kommuner/727;https://dawa.aws.dk/kommuner/727;537;200;True;
83;Kommunedata;requests;1566897550.782078;-0.16057276725769043;https://dawa.aws.dk/kommuner/741;https://dawa.aws.dk/kommuner/741;536;200;True;
84;Kommunedata;requests;1566897551.951089;-0.09152007102966309;https://dawa.aws.dk/kommuner/746;https://dawa.aws.dk/kommuner/746;541;200;True;
85;Kommunedata;requests;1566897553.044199;-0.12260794639587402;https://dawa.aws.dk/kommuner/710;https://dawa.aws.dk/kommuner/710;538;200;True;
86;Kommunedata;requests;1566897554.171299;-0.14284300804138184;https://dawa.aws.dk/kommuner/706;https://dawa.aws.dk/kommuner/706;539;200;True;
87;Kommunedata;requests;1566897555.321841;-0.24442195892333984;https://dawa.aws.dk/kommuner/707;https://dawa.aws.dk/kommuner/707;541;200;True;
88;Kommunedata;requests;1566897556.571746;-0.15470480918884277;https://dawa.aws.dk/kommuner/615;https://dawa.aws.dk/kommuner/615;536;200;True;
89;Kommunedata;requests;1566897557.7270558;-0.11223220825195312;https://dawa.aws.dk/kommuner/730;https://dawa.aws.dk/kommuner/730;537;200;True;
90;Kommunedata;requests;1566897558.848491;-0.11514401435852051;https://dawa.aws.dk/kommuner/846;https://dawa.aws.dk/kommuner/846;543;200;True;
91;Kommunedata;requests;1566897559.9705138;-0.13566017150878906;https://dawa.aws.dk/kommuner/851;https://dawa.aws.dk/kommuner/851;537;200;True;
92;Kommunedata;requests;1566897561.114281;-0.09081912040710449;https://dawa.aws.dk/kommuner/840;https://dawa.aws.dk/kommuner/840;536;200;True;
93;Kommunedata;requests;1566897562.21542;-0.11087894439697266;https://dawa.aws.dk/kommuner/820;https://dawa.aws.dk/kommuner/820;544;200;True;
94;Kommunedata;requests;1566897563.332077;-0.23476195335388184;https://dawa.aws.dk/kommuner/813;https://dawa.aws.dk/kommuner/813;545;200;True;
95;Kommunedata;requests;1566897564.57533;-0.26009082794189453;https://dawa.aws.dk/kommuner/810;https://dawa.aws.dk/kommuner/810;542;200;True;
96;Kommunedata;requests;1566897565.838468;-0.09304285049438477;https://dawa.aws.dk/kommuner/849;https://dawa.aws.dk/kommuner/849;539;200;True;
97;Kommunedata;requests;1566897566.9385731;-0.10425972938537598;https://dawa.aws.dk/kommuner/860;https://dawa.aws.dk/kommuner/860;538;200;True;
98;Kommunedata;requests;1566897568.048647;-0.2564232349395752;https://dawa.aws.dk/kommuner/825;https://dawa.aws.dk/kommuner/825;535;200;True;
