,Gade,Kommune,Postnr
228,Borgbjergsvej,København,2450
229,Bonderosestien,København,2300
230,V.A. Borgens Vej,København,2450
231,Borgerbo,København,2300
232,Borgergade,København,1300
233,Borgervænget,København,2100
234,Borghaven,København,2500
235,Borgmester Christiansens Gade,København,2450
236,Borgmester Jensens Allé,København,2100
237,Borgmestervangen,København,2900
238,Borgskrivervej,København,2400
239,Borneovej,København,2300
240,Bornholmsgade,København,1266
241,Borrebyvej,København,2700
242,Borthigsgade,København,2100
243,Borups Allé,København,2200
244,Borups Plads,København,2200
245,Boserupvej,København,2700
246,Botoftevej,København,2700
247,Boyesgade,København,1622
248,Bradbænken,København,1439
249,Bragesgade,København,2200
250,Brammingegade,København,2100
251,Bramslykkevej,København,2500
252,C.J. Brandts Vej,København,2400
253,Bratskovvej,København,2720
254,Bredahlsvej,København,2500
255,Bredegrund,København,2300
256,Bredelandsvej,København,2100
257,Bredgade,København,1260
258,Bregnegangen,København,2300
259,Bregnerødgade,København,2200
260,Breidablik Allé,København,2300
261,Bremensgade,København,2300
262,Bremerholm,København,1069
263,Breslaugade,København,2300
264,Brigadegården,København,2300
265,Brigadevej,København,2300
266,Bristol Allé,København,2300
267,Broagergade,København,1672
268,Brobergsgade,København,1427
269,Brofogedvej,København,2400
270,Brohusgade,København,2200
271,Broksøvej,København,2700
272,Brolæggerstræde,København,1211
273,Brombærvej,København,2400
274,Brorsonsgade,København,1624
275,Brovænget,København,2700
276,Brumleby,København,2100
277,Brunevang,København,2700
278,Brydes Allé,København,2300
279,Bryggergade,København,2100
280,Bryggerhesten,København,1799
281,Bryggerivej,København,2500
282,Bryggernes Plads,København,1799
283,Bryggervangen,København,2100
284,Bryghuspladsen,København,1473
285,Brynhildegade,København,2200
286,Brysselgade,København,2300
287,Brøndkærvej,København,2500
288,Brøndumvej,København,2720
289,Brøndæblevej,København,2500
290,Brønshøjgårdvej,København,2700
291,Brønshøjholms Allé,København,2700
292,Brønshøj Kirkevej,København,2700
293,Brønshøj Torv,København,
294,Brønshøjvej,København,2700
295,Bulbjergvej,København,2720
296,Bulgariensgade,København,2300
297,Buntmagervej,København,2400
298,Burmeistersgade,København,1429
299,Buskager,København,2720
300,Buster Larsens Vej,København,2500
301,Bustrupgade,København,1737
302,B-Vej,København,2300
303,Byagervej,København,2300
304,Bygholmvej,København,2720
305,Byglandsgade,København,2300
306,Bygmestervej,København,2400
307,Bygrænsen,København,2770
308,Bygårdstræde,København,2700
309,Byhøjen,København,2720
310,Bykildevej,København,2500
311,Bymosevej,København,2500
312,Byporten,København,2700
313,Bystævneparken,København,2700
314,Bystævnet,København,2700
315,Bytinget,København,2700
316,Byvangen,København,2700
317,Bækkeskovvej,København,2700
318,Bærhaven,København,2500
319,Bøhmensgade,København,2300
320,Bøllegård Allé,København,2400
321,Bøllemosegårdsvej,København,2100
322,Børglumvej,København,2720
323,Børsbroen,København,
324,Børsgade,København,1215
325,Børskaj,København,1221
326,Børskovvej,København,2100
327,Bådebrostien,København,2300
328,Bådehavnsgade,København,2450
329,Bådsmandsstræde,København,1407
330,Calaisgade,København,2150
331,Capellakaj,København,
332,Caprivej,København,2300
333,Carl Jacobsens Vej,København,2500
334,Carl Johans Gade,København,2100
335,Carl Langes Vej,København,2500
336,Carl Nielsens Allé,København,2100
337,Carlsgade,København,2300
338,Carl Th. Dreyers Vej,København,2500
339,Carl Th. Zahles Gade,København,2300
340,Carl Torps Vej,København,2500
341,Carsten Niebuhrs Gade,København,2450
342,Carstensgade,København,1770
343,Castbergsvej,København,2500
344,Center Boulevard,København,2300
345,Centerparken,København,2500
346,Cedergangen,København,2300
347,Ceylonvej,København,2300
348,Centrumforbindelsen,København,
349,Charlotte Ammundsens Plads,København,1359
350,Charlotte Muncks Vej,København,2400
351,Christen Bergs Allé,København,2500
352,J.C. Christensens Gade,København,2300
353,Christian II's Allé,København,2300
354,Christian IV's Bro,København,
355,Christian IX's Gade,København,1111
356,Christiansborg Slot,København,1218
357,Christiansborggade,København,1558
358,Christiansborg Ridebane,København,1218
359,Bryghusbroen,København,
360,Christiansborg Slotsplads,København,1218
361,Christians Brygge,København,1559
362,Christian Langes Plads,København,2450
363,Christianshavns Kanal,København,1406
364,Christianshavns Torv,København,1410
365,Christianshavns Voldgade,København,1424
366,Christiansmindevej,København,2100
367,Christian Svendsens Gade,København,2300
368,Christmas Møllers Plads,København,2300
369,Churchillparken,København,1263
370,Clara Pontoppidans Vej,København,2500
371,Classensgade,København,2100
372,Clausholmvej,København,2720
373,Clematisvej,København,2300
374,Colbjørnsensgade,København,1652
375,Collinsgade,København,2100
376,Constantin Hansens Gade,København,2150
377,Containervej,København,2150
378,Cordell Hulls Plads,København,
379,Cort Adelers Gade,København,1053
380,Cox Orangevej,København,
381,Cumberlandsgade,København,2300
382,C-Vej,København,2300
383,Cypernsvej,København,2300
384,Cæciliavej,København,2500
385,Dag Hammarskjölds Allé,København,2100
386,Dagmarsgade,København,2200
387,Dagøgade,København,2300
388,Dahlerupsgade,København,1603
389,Dalbyvej,København,2700
390,Dalføret,København,2300
391,Dalmosevej,København,2400
392,Dalslandsgade,København,2300
393,Dalvangen,København,2700
394,Damagervej,København,2450
395,Damhusdæmningen,København,2720
396,Dampfærgevej,København,2100
397,Damsbo Vænge,København,2500
398,Damstien,København,2720
399,Danhaven,København,2500
400,Dannebrogsgade,København,1660
401,Danneskiold-Samsøes Allé,København,1437
402,Dannevirkegade,København,1763
403,Danshøjvej,København,2500
404,Danstrupvej,København,2100
405,Dantes Plads,København,1556
406,David Balfours Gade,København,1402
407,Dea Trier Mørchs Vej,København,2300
408,Degnemose Allé,København,2700
409,Degnestavnen,København,2400
410,Degneæblevej,København,2500
411,Delfingade,København,1326
412,Delosvej,København,2300
413,Derbyvej,København,2300
414,J.H. Deuntzers Gade,København,2300
415,Diamantgangen,København,2300
416,Digevej,København,2300
417,Dirchsvej,København,2300
418,Donaugade,København,2300
419,Doris Lessings Vej,København,2300
420,Dortheavej,København,2400
421,Dover Passage,København,2150
422,Dovregade,København,2300
423,Dragsholmvej,København,2720
424,Drechselsgade,København,2300
425,Drejervej,København,2400
426,Drejøgade,København,2100
427,A.L. Drewsens Vej,København,2100
428,Drogdensgade,København,2300
429,Dronning Dagmars Allé,København,2500
430,Dronning Elisabeths Allé,København,2300
431,Dronningensgade,København,1420
432,Dronningens Tværgade,København,1302
433,Dronning Louises Bro,København,
434,Dronninglundvej,København,2720
435,Druehaven,København,2500
436,Dublinvej,København,2300
437,Dunhammervej,København,2400
438,Dunkerquegade,København,2150
439,Dybbølsbro,København,1705
440,Dybbølsgade,København,1721
441,Dybekær,København,2700
442,Dybendalsvej,København,2720
443,Dybensgade,København,1071
444,Dyblandsvangen,København,2700
445,Dykkerstien,København,2300
446,Dyrkøb,København,1166
447,Dysseager,København,2720
448,Dyssevænget,København,2700
449,Dyvekes Allé,København,2300
450,Dæmningen,København,2500
451,Dønnerupvej,København,2720
452,Ebba Lunds Vej,København,2400
453,Ebbe Rodes Allé,København,2500
454,Ebertsgade,København,2300
455,Eckersbergsgade,København,2100
456,Eddagården,København,2200
457,Edel Sauntes Allé,København,2100
458,Edelsmindevej,København,2700
459,Edith Rodes Vej,København,2200
460,Edvard Falcks Gade,København,1569
461,Edvard Griegs Gade,København,2100
462,Edvard Storms Vej,København,2450
463,Edvard Thomsens Vej,København,2300
464,Efterslægtsvej,København,2400
465,Egebæksvej,København,2100
466,Egegade,København,2200
467,Egelykkevej,København,2720
468,Egemarkevej,København,2720
469,Egevangen,København,2700
470,Egholmvej,København,2720
471,Egilsgade,København,2300
472,Ehlersvej,København,2900
473,Eik Skaløes Plads,København,
474,Ejderstedgade,København,1761
475,Ejler Billes Allé,København,2300
476,Ekvipagemestervej,København,1438
477,Elbagade,København,2300
478,Elefanten,København,1439
479,Eliasgade,København,2300
480,Elise Sørensens Vej,København,2400
481,Ellebakken,København,2900
482,Ellebjergvej,København,2450
483,Ellestykket,København,2450
484,Ellevangen,København,2700
485,Elmegade,København,2200
486,Elmelundevej,København,2700
487,Elna Munchs Plads,København,2720
488,Elsdyrsgade,København,1324
489,Else Alfelts Vej,København,2300
490,Elselillevej,København,2300
491,Elstarvej,København,2500
492,Elværksvej,København,2450
493,Emblasgade,København,2100
494,Emdrup Banke,København,2100
495,Emdrup Engvej,København,2400
496,Emdrupgårdsvej,København,2400
497,Emdrup Huse,København,2100
498,Emdrup Kærvej,København,2400
499,Emdrup Mosevej,København,2400
500,Emdrup Torv,København,
501,Emdrupvej,København,2100
502,Emdrup Vænge,København,2100
503,Emil Holms Kanal,København,2300
504,Emma Gads Vej,København,2300
505,Enebærvej,København,2400
506,Enemærket,København,2400
507,Energiporten,København,2450
508,Engblommevej,København,2400
509,Engdals Allé,København,2500
510,Engdraget,København,2500
511,Engelholmvej,København,2700
512,Engelstedsgade,København,2100
513,Enghave Brygge,København,2450
514,Enghave Passage,København,1739
515,Enghave Plads,København,1670
516,Enghavevej,København,1674
517,Engholmen,København,2450
518,Englandsvej,København,2300
519,Englodden,København,2500
520,Engskiftevej,København,2100
521,Engsletten,København,2300
522,Engsvinget,København,2400
523,Engvej,København,2300
524,Enigheds Allé,København,2700
525,Enveloppevej,København,
526,Erantisvej,København,2300
527,Erik Ballings Vej,København,2500
528,Erik Ejegods Gade,København,1731
529,Erik Eriksens Gade,København,2300
530,Eriksgade,København,1708
531,Eriksholmvej,København,2720
532,Ernst Kapers Vej,København,2450
533,Ernst Meyers Gade,København,1772
534,Esbern Snares Gade,København,1725
535,Eschrichtsvej,København,2500
536,Eskadrevej,København,1439
537,Eskildsgade,København,1657
538,Eskildstrupvej,København,2700
539,Eskjærvej,København,2720
540,Esplanaden,København,1263
541,Esromgade,København,2200
542,Esther Ammundsens Vej,København,2400
543,Esthersvej,København,2900
544,Estlandsgade,København,1724
545,Etonvej,København,2300
546,Ewaldsgade,København,2200
547,Fabrikmestervej,København,1437
548,Fadet,København,1799
549,Fafnersgade,København,2200
550,Fajancegade,København,2500
551,Faksegade,København,2100
552,Fakse Tværgade,København,2100
553,Faksingevej,København,2700
554,Falkevej,København,2400
555,Fanøgade,København,2100
556,Farumgade,København,2200
557,Farvergade,København,1171
558,Fehmernsgade,København,2300
559,Femkløvervej,København,2300
560,Fengersvej,København,2500
561,Fenrisgade,København,2200
562,Fensmarkgade,København,2200
563,Ferringvej,København,2720
564,Ferskenvej,København,2400
565,Filosofgangen,København,
566,Filosofvænget,København,2400
567,Finlandsgade,København,2300
568,Fiolstræde,København,1171
569,Firkløvervej,København,2400
570,Fiskedamsgade,København,2100
571,Fiskerihavnsgade,København,2450
572,Fjenneslevvej,København,2700
573,Fladstjernevej,København,2400
574,Flakfortet,København,1433
575,Flakholmen,København,2720
576,Flaskegade,København,1799
577,Flaskehalsen,København,1799
578,Flensborggade,København,1669
579,Flidsagervej,København,2500
580,Flinterenden,København,2300
581,Flinterupvej,København,2720
582,Floras Allé,København,2720
583,Florensvej,København,2300
584,Floridavej,København,2300
585,Florsgade,København,2200
586,Flæsketorvet,København,1711
587,Fogedgården,København,2200
588,Fogedmarken,København,2200
589,Folehaven,København,2500
590,Folevadsvej,København,2400
591,Folke Bernadottes Allé,København,2100
592,Folmer Bendtsens Plads,København,2200
593,Forbindelsesvej,København,2100
594,Fordresgårdvej,København,2400
595,Forlandet,København,2300
596,Formosavej,København,2300
597,Fortkaj,København,2150
598,Fortunstræde,København,1065
599,Fossgårdsvej,København,2720
600,Fragtvej,København,2450
601,Franciska Clausens Plads,København,1799
602,C.J. Frandsens Vej,København,2400
603,Frankrigsgade,København,2300
604,Frankrigshusene,København,2300
605,Fredensborggade,København,2200
606,Fredensbro,København,
607,Fredensgade,København,2200
608,Fredenshøj Allé,København,2300
609,Fredericiagade,København,1310
610,Frederik V's Vej,København,2100
611,Frederik VII's Gade,København,2200
612,Frederiksberg Allé,København,1621
613,Frederiksberggade,København,1459
614,Frederiksborggade,København,1360
615,Frederiksborgvej,København,2860
616,Frederiksgade,København,1265
617,Frederiksgårds Allé,København,2720
618,Frederiksholms Kanal,København,1220
619,Frederikskaj,København,2450
620,Frederiksstadsgade,København,1667
621,Frederikssundsvej,København,2400
622,Fredrik Bajers Plads,København,
623,Luftmarinegade,København,1432
624,Frejasgade,København,2200
625,Fremads Allé,København,2300
626,Freundsgade,København,1775
627,Fridtjof Nansens Plads,København,2100
628,Frilands Allé,København,2500
629,Frimestervej,København,2400
630,Frode Jakobsens Plads,København,2720
631,Fruebjergvej,København,2100
632,Frue Plads,København,1168
633,Frugthaven,København,2500
634,Frugtmarkedet,København,2500
635,Fuglagervej,København,2720
636,Fuglefængervej,København,2400
637,Fuglegavl,København,2700
638,Fuglekongegangen,København,2300
639,Fuglsang Allé,København,2700
640,Funkiavej,København,2300
641,Fussingsvej,København,2300
642,Fyensgade,København,2200
643,Fyrbødervej,København,2400
644,Fyrtårnvej,København,2300
645,Fælleddiget,København,2300
646,Fælledfold,København,2300
647,Fælledvej,København,2200
648,Fælledvejens Passage,København,2200
649,Færgehavns Brygge,København,
650,Færgehavnsvej,København,2150
651,Følager,København,2500
652,Følfodvej,København,2300
653,Førslevvej,København,2700
654,Fåborggade,København,2100
655,Gadekærvej,København,2500
656,Gadelandet,København,2700
657,Gadstrupvej,København,2700
658,Galionsvej,København,1437
659,Gamle Carlsberg Vej,København,2450
660,Gamle Vasbygade,København,2450
661,Gammelgang,København,2300
662,Gammel Jernbanevej,København,2500
663,Gammel Kalkbrænderi Vej,København,2100
664,Gammel Kongevej,København,1610
665,Gammel Køge Landevej,København,2500
666,Gammel Mønt,København,1117
667,Gammel Strand,København,1202
668,Gammeltoftsgade,København,1355
669,Gammeltorv,København,1457
670,Gammelvagt,København,1312
671,Gammel Vartov Vej,København,2900
672,Garcia Robles Vej,København,
673,Gartnergade,København,2200
674,Gartnerivej,København,2100
675,Gasværksvej,København,1656
676,Gaunøvej,København,2700
677,Gavlhusvej,København,2700
678,Gearhalsvej,København,2500
679,Gefionsgade,København,2100
680,Geislersgade,København,2300
681,Gemmet,København,2400
682,Genforeningspladsen,København,2400
683,Gennemløbet,København,2720
684,Genuavej,København,2300
685,Georg Brandes Plads,København,1307
686,George Marshalls Vej,København,2450
687,Georginevej,København,2300
688,Gerbrandsvej,København,2300
689,Gerdasgade,København,2500
690,Gerlevvej,København,2700
691,Gernersgade,København,1319
692,Gertrude Steins Vej,København,2300
693,Gertsvej,København,2300
694,Geysers Allé,København,2300
695,Gilbjerggade,København,2200
696,Gimles Allé,København,2300
697,Gislingevej,København,2700
698,Gittervej,København,
699,Gjorslevvej,København,2720
700,Gladbovej,København,2500
701,Gladiolusvej,København,2300
702,Gladsaxevej,København,
703,Glasvej,København,2400
704,Glentevej,København,2400
705,Glinkasvej,København,2450
706,Glommensgade,København,2300
707,Glucksvej,København,2450
708,Glumsøvej,København,2700
709,Glückstadtsvej,København,2150
710,Glænøgade,København,2100
711,Godsbanegade,København,1722
712,Godthåbsvej,København,2720
713,Gormsgade,København,2200
714,Gothersgade,København,1123
715,Granlien,København,2400
716,Gransangervej,København,2400
717,Gravervænget,København,2400
718,Greisvej,København,2300
719,Grenågade,København,2100
720,Grevingevej,København,2700
721,Gribskovvej,København,2100
722,Griffenfeldsgade,København,2200
723,Grostedet,København,2700
724,Grysgårdsvej,København,2400
725,Grækenlandsvej,København,2300
726,Græsvænget,København,
727,Grønagervej,København,2300
728,Grønbakken,København,2720
729,Grøndals Parkvej,København,2720
730,Grøndalsvænge Allé,København,2400
731,Grøndal Torv,København,
732,Grønjordskollegiet,København,2300
733,Grønjordsvej,København,2300
734,Grønløkkesti,København,
735,Grønløkkevej,København,2300
736,Grønnegade,København,1107
737,Grønnehave Allé,København,2500
738,Grønnehøj,København,2720
739,Grønnemose Allé,København,2400
740,Grønningen,København,1270
741,Grønrisvej,København,2450
742,Grønttorvet,København,2500
743,Grønvangen,København,2720
744,Gråbrødrestræde,København,1156
745,Gråbrødretorv,København,1154
746,Gråbynkevej,København,2700
747,Gråspurvevej,København,2400
748,Gråstensgade,København,1677
749,Gudenåvej,København,2720
750,Guldagervej,København,2720
751,Guldbergsgade,København,2200
752,Guldbergs Have,København,2200
753,Guldbergs Plads,København,2200
754,Guldstjernevej,København,2400
755,Gulkløvervej,København,2400
756,Gullandsgade,København,2300
757,Gullfossgade,København,2300
758,Gunhildsgade,København,2100
759,Gunløgsgade,København,2300
760,Gunnar Nu Hansens Plads,København,2100
761,Gustav Adolfs Gade,København,2100
762,Gustav Bangs Gade,København,2450
763,G-Vej,København,2300
764,Gyldenlakvej,København,2300
765,Gyldenløvesgade,København,1600
766,Gyldenrisvej,København,2300
767,Gyritegade,København,2100
768,Gyrstingevej,København,2700
769,Gyvelvej,København,2720
770,Gærdebred,København,2300
771,Gærtorvet,København,1799
772,Gørtlervej,København,2400
773,Gårdfæstevej,København,2300
774,Gårdstedet,København,2500
775,Gårdtoftevej,København,2700
776,Gåsebæksvej,København,2500
777,Gåsegade,København,1465
778,Gåsestien,København,
779,Gåseurtvej,København,2700
780,Haderslevgade,København,1671
781,Hagbardvej,København,2300
782,Hagestedvej,København,2700
783,Haifagade,København,
784,Haldagervej,København,2720
785,Halfdansgade,København,2300
786,Halgreensgade,København,2300
787,Hallandsgade,København,2300
788,Halldór Laxness Vej,København,2300
789,Hallinsgade,København,2100
790,Halmtorvet,København,1700
791,Halsskovgade,København,2100
792,Halvtolv,København,1436
793,Hambrosgade,København,1562
794,Hamletsgade,København,2200
795,Hammelstrupvej,København,2450
796,Hammerensgade,København,1267
797,Hammerichsgade,København,1611
798,Hammershusgade,København,2100
799,Hammershøis Kaj,København,1402
800,Hampeland,København,2700
801,Hanebred,København,2720
802,Hannemanns Allé,København,2300
803,Hannovergade,København,2300
804,Hans Bogbinders Allé,København,2300
805,Hans Egedes Gade,København,2200
806,H.C. Hansens Gade,København,2300
807,Hans Kirks Vej,København,2200
808,Hans Hedtofts Gade,København,2300
809,Hans Knudsens Plads,København,2100
810,Hans Olriks Vej,København,2450
811,Hansstedvej,København,2500
812,Hans Tavsens Gade,København,2200
813,Hanstholmvej,København,2720
814,Harald Jensens Gade,København,2450
815,Harald Kiddes Vej,København,2500
816,Harald Landers Gade,København,1056
817,Haraldsgade,København,2200
818,Haraldstedvej,København,2700
819,Harboørevej,København,2720
820,Hardangergade,København,2100
821,Hardenbergvej,København,2500
822,Haregade,København,1320
823,Hareskovvej,København,2700
824,Harespringet,København,2400
825,Harrestrup Allé,København,2500
826,Harrestrupvang,København,2500
827,J.P.E. Hartmanns Allé,København,2500
828,Harwichgade,København,
829,Hasselvej,København,2720
830,Hastingsvej,København,2300
831,Hattemagerstien,København,2300
832,Hausergade,København,1128
833,Hauser Plads,København,1127
834,Havdrupvej,København,2720
835,Havebo,København,2500
836,Havekrogen,København,2720
837,Havestykket,København,2300
838,Havkajakvej,København,2300
839,Havlyngbuen,København,2300
840,Havnegade,København,1058
841,Havneholmen,København,2450
842,Havrevej,København,2700
843,Havsgårdsvej,København,2900
844,Haydnsvej,København,2450
845,Hedebygade,København,1754
846,Hedegaardsvej,København,2300
847,Hedemannsgade,København,2100
848,Hegningen,København,2300
849,Hegnshusene,København,2700
850,Heibergsgade,København,1056
851,Heilsgade,København,1734
852,Heimdalsgade,København,2200
853,Heinesgade,København,2200
854,Heisesgade,København,2100
855,Hejrevej,København,2400
856,Heklas Allé,København,2300
857,Heldbovej,København,2500
858,Helga Larsens Plads,København,2720
859,Helgesensgade,København,2100
860,Helgolandsgade,København,1653
861,Helikonsvej,København,2300
862,Hellasvej,København,2300
863,Helleborg,København,2700
864,Hellebækgade,København,2200
865,Hellelidenvej,København,2300
866,Hellestedvej,København,2700
867,Helsingborggade,København,2100
868,Helsingørmotorvejen,København,
869,Hemsedalsgade,København,2300
870,Hendonvej,København,2300
871,Henrik Gerners Plads,København,1439
872,Henrik Harpestrengs Vej,København,2100
873,Henrik Pontoppidans Vej,København,2200
874,Henrik Rungs Gade,København,2200
875,Henrik Spans Vej,København,1439
876,Henriksvej,København,2400
877,Herbergvejen,København,2700
878,Herfølgevej,København,2700
879,Herholdtsgade,København,1605
880,Herjedalgade,København,2300
881,Herlufsholmvej,København,2720
882,Herluf Trolles Gade,København,1052
883,Herman Bangs Plads,København,2500
884,Herman Triers Plads,København,1631
885,Hermodsgade,København,2200
886,Herninggade,København,2100
887,Herslevvej,København,2700
888,Hesseløgade,København,2100
889,Hessensgade,København,2300
890,Hestehaven,København,2500
891,Hestemøllestræde,København,1464
892,Hildursgade,København,2100
893,Hillerødgade,København,2200
894,Hillerødmotorvejen,København,
895,Hilmar Baunsgaards Boulevard,København,2300
896,Himmerlandsvej,København,2720
