"Befolkningens højeste fuldførte uddannelse (15-69 år) efter højeste"
"fuldførte uddannelse, tid og bopælsområde"

" "," ","København","Frederiksberg","Dragør","Tårnby","Albertslund","Ballerup","Brøndby","Gentofte","Gladsaxe","Glostrup","Herlev","Hvidovre","Høje-Taastrup","Ishøj","Lyngby-Taarbæk","Rødovre","Vallensbæk","Allerød","Egedal","Fredensborg","Frederikssund","Furesø","Gribskov","Halsnæs","Helsingør","Hillerød","Hørsholm","Rudersdal","Bornholm","Christiansø","Greve","Køge","Lejre","Roskilde","Solrød","Faxe","Guldborgsund","Holbæk","Kalundborg","Lolland","Næstved","Odsherred","Ringsted","Slagelse","Sorø","Stevns","Vordingborg","Assens","Faaborg-Midtfyn","Kerteminde","Langeland","Middelfart","Nordfyns","Nyborg","Odense","Svendborg","Ærø","Billund","Esbjerg","Fanø","Fredericia","Haderslev","Kolding","Sønderborg","Tønder","Varde","Vejen","Vejle","Aabenraa","Favrskov","Hedensted","Horsens","Norddjurs","Odder","Randers","Samsø","Silkeborg","Skanderborg","Syddjurs","Aarhus","Herning","Holstebro","Ikast-Brande","Lemvig","Ringkøbing-Skjern","Skive","Struer","Viborg","Brønderslev","Frederikshavn","Hjørring","Jammerbugt","Læsø","Mariagerfjord","Morsø","Rebild","Thisted","Vesthimmerlands","Aalborg"
"H10 Grundskole"
" ","2019",80248,10748,1894,7962,6101,8950,8030,8443,10606,4120,5206,9860,10568,5490,6613,7110,2511,3344,6602,6667,8169,5591,7556,6217,11392,8034,3067,6946,8166,13,8391,11686,4526,13778,3578,7754,13150,14627,11014,10258,16909,7298,7036,17294,6073,4476,10039,8698,10119,4720,2787,7266,6222,6703,33666,10788,979,5812,22251,454,10608,11578,17443,14203,8206,10249,9219,21748,12221,8319,9777,17032,8362,3870,19199,595,16472,10060,7460,45950,17454,11179,8870,4279,11701,9730,4797,18270,7134,12288,13232,8167,367,8806,4896,5237,9495,8268,34126
"H1001 Ingen uddannelse"
" ","2019",1438,187,31,107,137,118,162,133,159,69,62,128,212,151,106,102,40,62,102,111,94,109,79,63,170,117,51,117,77,0,122,215,68,276,57,103,215,247,119,87,151,80,100,283,86,66,100,82,133,56,27,82,58,81,625,120,14,82,287,8,139,151,275,207,73,134,144,327,164,138,146,276,88,76,215,7,237,138,92,921,273,182,95,47,155,129,90,280,96,189,177,118,4,101,48,43,119,120,415
"H20 Gymnasiale uddannelser"
" ","2019",77001,10821,1067,2804,2242,3047,2464,6552,5554,1587,2025,3879,3623,1655,4825,2766,1211,1657,2470,2710,2240,2496,2113,1491,4281,3557,1890,4308,1524,1,3394,3678,1395,6597,1508,1642,2691,3789,1796,1427,4547,1318,2001,4648,1239,1035,2100,1562,2086,902,401,1705,1114,1463,22513,3602,237,1297,6783,149,2945,2911,5670,3621,1536,2217,1785,6651,2585,2129,1868,5262,1749,1124,5991,140,4962,2886,2123,46491,5411,3541,1971,862,2459,2295,891,4966,1417,2422,3043,1547,59,1943,816,1137,1934,1426,22208
"H30 Erhvervsfaglige uddannelser"
" ","2019",71159,10377,2510,10284,4888,9782,7377,6791,11504,5091,5904,11262,10678,4679,6331,8367,3284,3969,9757,6865,11052,5308,9562,7938,11888,9781,3015,5783,10158,18,11706,14460,6381,16713,5288,9799,15455,17112,12891,10831,20474,8445,8690,18962,7259,5914,10741,10397,13133,5986,3340,9232,7981,7562,35789,13121,1517,6808,26942,629,12061,13666,20586,17158,10156,13332,11412,24698,15369,11205,12334,20332,10541,5322,24416,915,21190,12643,10248,48286,21190,13800,10401,5221,15059,11810,5087,23203,9334,16370,16598,9965,449,10901,5243,7230,11386,9756,41599
"H35 Adgangsgivende uddannelsesforløb"
" ","2019",274,39,3,10,16,25,17,24,45,8,20,21,25,10,15,11,10,3,15,12,18,20,18,18,28,17,8,25,8,1,20,18,10,22,7,12,15,14,11,12,13,5,12,25,10,8,13,22,20,15,2,18,13,17,273,22,5,10,112,1,29,14,18,45,14,16,11,60,24,38,15,85,26,21,73,3,66,39,23,787,75,52,17,8,25,14,23,51,23,29,36,19,1,19,6,19,13,16,336
"H40 Korte videregående uddannelser, KVU"
" ","2019",22399,3317,580,1527,919,1645,1174,2471,2448,882,997,1998,2024,776,1744,1406,710,1015,1964,1418,1665,1441,1325,950,2118,2080,897,1714,960,1,2008,2329,1098,3497,1028,1173,1623,2367,1514,837,2847,764,1388,2558,943,762,1245,1355,1753,679,251,1294,946,990,7345,1756,191,864,4019,128,1689,1705,3717,2734,1099,1655,1389,4320,1793,1921,1763,3804,1082,800,3980,102,3776,2587,1421,12963,3569,1979,1466,471,1732,1461,544,3526,1077,1824,1783,1085,27,1363,485,1015,1252,1106,7431
"H50 Mellemlange videregående uddannelser, MVU"
" ","2019",73407,11586,1402,3520,2793,4574,2713,8058,7689,2093,2806,4945,4270,1762,6250,3940,1557,2904,4465,4375,4524,4747,4138,2841,6747,6141,2563,5709,3576,15,4331,5442,2768,9675,2154,3110,5629,7363,3808,2882,8606,2627,3109,7471,2831,1972,4410,3809,4850,2221,908,4053,2540,3052,23720,7410,561,2061,13377,514,4989,5476,9644,7282,2903,4526,3432,12980,5085,5060,4158,10112,2878,2460,8997,361,10683,7124,4374,42232,8960,6586,3375,1832,4996,4295,1974,9945,3478,5028,6469,3183,147,3812,1491,2982,3552,3031,22910
"H60 Bacheloruddannelser, BACH"
" ","2019",30526,4514,179,391,320,433,340,1717,1158,238,282,726,450,212,1326,525,210,317,440,588,294,535,320,176,662,508,368,1082,248,1,425,484,240,1162,217,177,275,459,185,135,476,156,282,589,216,117,264,245,306,170,54,262,152,193,5521,406,31,128,885,32,397,309,1076,570,116,200,219,847,288,372,202,623,138,198,673,40,740,584,348,12445,708,293,202,76,246,156,107,513,209,236,275,212,9,215,64,218,174,125,5654
"H70 Lange videregående uddannelser, LVU"
