"Ejendomssalg efter overdragelsesformer, nøgletal, område,"
"ejendomskategori og tid"

" "," "," "," ","2016K1","2016K2","2016K3","2016K4","2017K1","2017K2","2017K3","2017K4","2018K1","2018K2","2018K3","2018K4","2019K1"
"Almindelig fri handel"
" ","Gennemsnitlig pris pr. ejendom (1000 kr)"
" "," "," ","Enfamiliehuse",1741,1775,1798,1800,1755,1924,1831,1867,1948,1979,1936,1900,1901
" "," "," ","Ejendomme med 2 eller 3 lejligheder",2276,1760,2153,1330,2207,2051,2049,1696,1742,1496,2362,1882,2105
" "," "," ","Ejendomme med 4 lejligheder eller derover",3431,7563,2610,4628,5575,3621,6431,3350,5707,2474,4473,4728,3757
" "," "," ","Blandet beboelse-forretning",2881,4958,2589,3893,3515,2875,3303,2978,3408,4700,3082,4117,3144
" "," "," ","Rene forretningsejendomme",3641,3193,1884,5831,3873,6784,4300,6500,7434,5048,5663,3350,5863
" "," "," ","Fabriks- og lagerejendomme",1691,3945,5160,3620,6052,3210,3253,3999,3051,4511,2752,4423,3710
" "," "," ","Landbrug i alt",5912,4251,4539,3385,4227,3564,4804,4477,4721,4462,4073,4266,4036
" "," "," ","Sommerhuse",1055,899,950,1008,929,982,990,1011,1026,1050,996,994,1034
" "," "," ","Grunde i alt",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Ejerlejligh. ikke frie. Antal",0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","Ejerlejligheder fri",1364,1411,1330,1503,1383,1446,1471,1426,1428,1520,1506,1475,1564
" "," "," ","Ejerlejligheder, i alt",1364,1411,1330,1503,1383,1446,1471,1426,1428,1520,1506,1475,1564
" "," "," ","Andet bebygget. Antal",0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","Samlet salg",1717,1686,1620,1743,1724,1694,1687,1804,1943,1822,1730,1807,1777
" "," "," ","Ejendomme med 2 lejligheder",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Ejendomme med 3 lejligheder",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Ejendomme med 4-8 lejligheder",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Ejendomme m 9 el. flere lejl.",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug 10-100 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
