Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Narkotika og smugling;Københavns Vestegn;Herlev;63;2,2;61;96,8%
Narkotika og smugling;Københavns Vestegn;Albertslund;74;2,7;65;87,8%
Narkotika og smugling;Københavns Vestegn;Hvidovre;63;1,2;62;98,4%
Narkotika og smugling;Københavns Vestegn;Høje Taastrup;72;1,4;88;122,2%
Narkotika og smugling;Københavns Vestegn;Rødovre;33;0,8;34;103,0%
Narkotika og smugling;Københavns Vestegn;Ishøj;51;2,2;44;86,3%
Narkotika og smugling;Københavns Vestegn;Vallensbæk;25;1,5;30;120,0%
Narkotika og smugling;København;København;2.622;4,2;2.129;81,2%
Narkotika og smugling;København;Frederiksberg;78;0,8;75;96,2%
Narkotika og smugling;København;Dragør;5;0,4;5;100,0%
Narkotika og smugling;København;Tårnby;102;2,4;92;90,2%
Narkotika og smugling;Bornholm;Bornholm;64;1,6;51;79,7%
