Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Indbrud;Københavns Vestegn;Albertslund;58;2,1;2;3,4%
Indbrud;Københavns Vestegn;Hvidovre;116;2,2;9;7,8%
Indbrud;Københavns Vestegn;Høje Taastrup;135;2,7;11;8,1%
Indbrud;Københavns Vestegn;Rødovre;116;2,9;3;2,6%
Indbrud;Københavns Vestegn;Ishøj;33;1,4;2;6,1%
Indbrud;Københavns Vestegn;Vallensbæk;38;2,3;2;5,3%
Indbrud;København;København;1.209;1,9;103;8,5%
Indbrud;København;Frederiksberg;179;1,7;15;8,4%
Indbrud;København;Dragør;50;3,5;3;6,0%
Indbrud;København;Tårnby;85;2,0;5;5,9%
Indbrud;Bornholm;Bornholm;12;0,3;6;50,0%
